,file_name,recall_0.1,recall_0.25,recall_0.5,recall_0.75,recall_0.9,wss_0.95,erf_0.1,atd
0,metrics_sim_van_de_Schoot_2018_1881.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8930068387381425,0.8648648648648649,102.86486486486487
1,metrics_sim_van_de_Schoot_2018_1356.json,0.972972972972973,1.0,1.0,1.0,1.0,0.900286785793073,0.8648648648648649,82.02702702702703
2,metrics_sim_van_de_Schoot_2018_116.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8991837635120229,0.8648648648648649,90.54054054054055
3,metrics_sim_van_de_Schoot_2018_1248.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8945510699316126,0.8648648648648649,94.43243243243244
4,metrics_sim_van_de_Schoot_2018_462.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8960953011250827,0.8648648648648649,86.05405405405405
5,metrics_sim_van_de_Schoot_2018_767.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8963159055812927,0.8648648648648649,89.8108108108108
6,metrics_sim_van_de_Schoot_2018_2624.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8949922788440327,0.8648648648648649,92.75675675675676
7,metrics_sim_van_de_Schoot_2018_730.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8960953011250827,0.8648648648648649,92.1891891891892
8,metrics_sim_van_de_Schoot_2018_3608.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8952128833002426,0.8648648648648649,87.4054054054054
9,metrics_sim_van_de_Schoot_2018_1033.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8952128833002426,0.8648648648648649,87.70270270270271
10,metrics_sim_van_de_Schoot_2018_51.json,0.972972972972973,1.0,1.0,1.0,1.0,0.900066181336863,0.8648648648648649,82.21621621621621
11,metrics_sim_van_de_Schoot_2018_2279.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8969777189499228,0.8648648648648649,90.8108108108108
12,metrics_sim_van_de_Schoot_2018_1746.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8958746966688728,0.8648648648648649,92.13513513513513
13,metrics_sim_van_de_Schoot_2018_2740.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8958746966688728,0.8648648648648649,92.24324324324324
14,metrics_sim_van_de_Schoot_2018_1429.json,0.972972972972973,1.0,1.0,1.0,1.0,0.900066181336863,0.8648648648648649,83.48648648648648
15,metrics_sim_van_de_Schoot_2018_2803.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8947716743878227,0.8648648648648649,99.05405405405405
16,metrics_sim_van_de_Schoot_2018_3842.json,0.972972972972973,1.0,1.0,1.0,1.0,0.899624972424443,0.8648648648648649,84.62162162162163
17,metrics_sim_van_de_Schoot_2018_2496.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8952128833002426,0.8648648648648649,89.4054054054054
18,metrics_sim_van_de_Schoot_2018_3680.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8941098610191925,0.8648648648648649,92.10810810810811
19,metrics_sim_van_de_Schoot_2018_1994.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8963159055812927,0.8648648648648649,90.4054054054054
20,metrics_sim_van_de_Schoot_2018_3442.json,1.0,1.0,1.0,1.0,1.0,0.8943304654754026,0.8918918918918919,91.48648648648648
21,metrics_sim_van_de_Schoot_2018_831.json,0.972972972972973,1.0,1.0,1.0,1.0,0.900066181336863,0.8648648648648649,80.67567567567568
22,metrics_sim_van_de_Schoot_2018_3314.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8941098610191925,0.8648648648648649,92.0
23,metrics_sim_van_de_Schoot_2018_1554.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8890359585263622,0.8648648648648649,108.0
24,metrics_sim_van_de_Schoot_2018_3769.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8941098610191925,0.8648648648648649,95.27027027027027
25,metrics_sim_van_de_Schoot_2018_2545.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8930068387381425,0.8648648648648649,102.86486486486487
26,metrics_sim_van_de_Schoot_2018_902.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8958746966688728,0.8648648648648649,92.16216216216216
27,metrics_sim_van_de_Schoot_2018_1514.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8949922788440327,0.8648648648648649,85.29729729729729
28,metrics_sim_van_de_Schoot_2018_1180.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8952128833002426,0.8648648648648649,87.72972972972973
29,metrics_sim_van_de_Schoot_2018_3076.json,0.972972972972973,1.0,1.0,1.0,1.0,0.900066181336863,0.8648648648648649,82.35135135135135
30,metrics_sim_van_de_Schoot_2018_1565.json,0.972972972972973,1.0,1.0,1.0,1.0,0.8967571144937128,0.8648648648648649,88.29729729729729
31,metrics_sim_van_de_Schoot_2018_953.json,0.972972972972973,1.0,1.0,1.0,1.0,0.899845576880653,0.8648648648648649,88.16216216216216
